Image_ID,Title,Director,Cast,Year,Genre,Synopsis,image_url
tt0067252,Interview,Mrinal Sen,"Bhanu Bannerjee, Asit Baran, Chhayadevi, Ajoy Ganguli",1971,Drama, Ranjit cannot get a middle-class job just because he cannot get hold of a suit.,"https://m.media-amazon.com/images/M/MV5BMTMzYzQ2ZGMtNjFmNS00Nzg5LWJlMmUtY2I0ZjEzN2M1NTRmXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_UY98_CR1,0,67,98_AL_.jpg"
tt0066880,Calcutta 71,Salil Sen,"Narayan Chakraborty, Kanu Bandopadhyay, Anjana Bhowmik, Basanta Choudhury, Anubha Gupta",1971,Drama," An angry young man on trial in 1971,a rainstorm in a slum in 1933,a lower-middle-class family during the 1943 famine,teenage smugglers in 1953 and a middle-class group in a posh hotel in 1971.","https://m.media-amazon.com/images/M/MV5BZDRjZjMxMTgtZDI5YS00MGJlLWIwNzgtMmQyMjI0YTNkMzRlXkEyXkFqcGdeQXVyNDI3NjcxMDA@._V1_UX67_CR0,0,67,98_AL_.jpg"
tt7683668,Rajkumari,Bimal Bhowmik,"Kabori Sarwar, Abdur Razzak, Anis, Anowara",1970,Romance, Manju's mother was very strictly disciplined. One day Manju listen singing form Nirmal and She fell in love. Nirmal went to Manju's mother and said to her mother that he wanted to sing the ...                See full summary » ,"https://m.media-amazon.com/images/M/MV5BNGYwMDMyNjAtNzBiOS00MmQyLWJjNWMtOWRiYzExZmUxMWRhXkEyXkFqcGdeQXVyNzgzNDAzMTA@._V1_UY98_CR0,0,67,98_AL_.jpg"
tt6900482,Diba Ratrir Kabya,Nazrul Islam,"Abdur Razzak, Kabori Sarwar, Raju Ahmed, Hashmot",1970,"Comedy, Drama, Romance", Throughout her life Supriya loved a man and was married to another man however she did not either escape from her responsibilities as a doting wife. However her inner feelings keep ...                See full summary » ,"https://m.media-amazon.com/images/M/MV5BZGJlMTRlOWMtNTU4MS00NjAzLTllMmMtZWJmZWFlN2E3M2JmXkEyXkFqcGdeQXVyNzgzNDAzMTA@._V1_UY98_CR0,0,67,98_AL_.jpg"
tt5326878,Darpochurno,Narayan Ghosh Mita,"Abdur Razzak, Bobita, Shaukat Akbar, Rawshan Zamil",1970,Drama,NA,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
tt5290990,Ka Kha Ga Gha Umo,Babul Chowdhury,"Gita Dey, Swarup Dutt, Anubha Gupta, Chinmoy Roy",1970,"Comedy, Drama, Family",NA,"https://m.media-amazon.com/images/M/MV5BYzA2ODU3OWQtNjVhNi00OTU3LTg5M2UtYTI5ZWE0MDAzYTJjXkEyXkFqcGdeQXVyNDI3NjcxMDA@._V1_UX67_CR0,0,67,98_AL_.jpg"
tt5201570,Taka Ana Pai,Tapan Sinha,"Anirban Bhattacharya, Tuhina Das, Rwitobroto Mukherjee, Gargi Banerjee",1970,"Drama, Family"," A lawyer, son of a local decorator wedding cook, unwillingly got married with a rich father's goofy daughter & bring curse to his family.","https://m.media-amazon.com/images/M/MV5BZjM1OTA1MjUtMjdjNi00NjViLWIwY2QtNjIyNWJmZjBkNjBlXkEyXkFqcGdeQXVyNDI3NjcxMDA@._V1_UX67_CR0,0,67,98_AL_.jpg"
tt5014562,Ekhoni,Aparna Sen,"Afran Nisho, Ziaul Hoque Polash, Tanjin Tisha",1970,Drama," Ekhonee depicts the lives and frustrations of a bunch of youth struggling to cope with the adversities of a bureaucratic society. There's a bunch of college students Arun, Tiklu, Shambhu, ...                See full summary » ","https://m.media-amazon.com/images/M/MV5BODlhNTdmM2UtZWU5YS00NjNkLTkwYjQtZjM1M2Y3YmZmNjNmXkEyXkFqcGdeQXVyNzgzNDAzMTA@._V1_UY98_CR0,0,67,98_AL_.jpg"
tt11152690,Megh Kalo,Kajal Arefin Ome,"Musfiq R. Farhan, Mosharraf Karim, Sayed Zaman Shawon",1970,Drama,NA,"https://m.media-amazon.com/images/M/MV5BNjMyNTk5NGItNDFmMC00OGZjLWFiOGItMWFhNGY5ZjhiYTQ3XkEyXkFqcGdeQXVyMTA4OTY2NzM2._V1_UX67_CR0,0,67,98_AL_.jpg"
tt11148316,Me & U,Mabrur Rashid Bannah,"Tahsan, Nusrat Imrose Tisha",2019,Drama,NA,"https://m.media-amazon.com/images/M/MV5BMTE3NWI3YmMtMGY0OC00OTY3LThkZTgtMWI1ZmZiMDhmZTJlXkEyXkFqcGdeQXVyMTA2ODI2Njc4._V1_UX67_CR0,0,67,98_AL_.jpg"
tt11148192,Loosers 2,Mabrur Rashid Bannah,"Saurav Das, Samadarshi Dutta, Saayoni Ghosh, Durga Santra",2019,Drama,NA,"https://m.media-amazon.com/images/M/MV5BMzUyNzg0N2QtYmQ3Ni00NzllLWExZGUtY2E1M2JkMWJlNDc3XkEyXkFqcGdeQXVyMTA2ODI2Njc4._V1_UX67_CR0,0,67,98_AL_.jpg"
tt11131476,Angule Angul,Subhendu Pandit,"Arifin Shuvo, Bidya Sinha Saha, Zahid Hasan, Tariq Anam Khan",2019,Drama, The story is based on a cross-connection between two couples. It engages the life event of the four youngsters who go through an identity crisis and finds an abrupt change in their relationships.,"https://m.media-amazon.com/images/M/MV5BOGUyODkxNGYtMTg1MS00ZjUyLWI1ZTMtNTQ4OTVjNjFiZjIzXkEyXkFqcGdeQXVyNzgzNDAzMTA@._V1_UX67_CR0,0,67,98_AL_.jpg"
tt10984586,Wrong Number,Golam Sohrab Dodul,"Raisul Islam Asad, Aruna Biswas, Wahida Mollick Jolly, Omit Hasan Pavel",2019,Drama," Irfan has been the moral political guardian to Arman the way Ahsan has been to him. Then why does a series of unfortunate events- female trafficking, drug smuggling, disappearing of a ...                See full synopsis » ","https://m.media-amazon.com/images/M/MV5BMTA5OWFkZTUtOWU3Ny00MzlmLWFlMGQtN2NhZjQ2NmVmYTUwXkEyXkFqcGdeQXVyNTk4NzEzNjQ@._V1_UX67_CR0,0,67,98_AL_.jpg"
